Ciclo,Reset,PC,Instrução (Montagem/Máquina),SrcA,SrcB,Branch,AluResult,Flags3:0,CondEx,WriteData,MemWrite,ReadData
1,1,0,e04f000f,8,8,0,0,6,1,8,0,
2,1,0,e04f000f,8,8,0,0,6,1,8,0,
3,0,4,e2802005,0,5,0,5,0,1,,0,
4,0,8,e280300c,0,c,0,c,0,1,,0,
5,0,c,e2437009,c,9,0,3,2,1,,0,
6,0,10,e1874002,3,5,0,7,0,1,5,0,
7,0,14,e0035004,c,7,0,4,0,1,7,0,
8,0,18,e0855004,4,7,0,b,2,1,7,0,
9,0,1c,e0558007,b,3,0,8,0,1,3,0,
10,0,20,0a00000c,28,30,1,58,0,1,,0,
11,0,24,e0538004,c,7,0,5,0,1,7,0,
12,0,28,aa000000,30,0,1,30,2,1,0,0,
13,0,30,e0578002,3,5,0,fffffffe,0,0,5,0,
14,0,34,b2857001,b,1,0,c,2,1,,0,
15,0,38,e0477002,c,5,0,7,0,1,5,0,
16,0,3c,e5837054,c,54,0,60,8,1,7,1,
17,0,40,e5902060,0,60,0,60,0,1,0,0,7
18,0,44,e08ff000,4c,0,0,4c,2,1,0,0,
19,0,4c,ea000001,54,58,1,58,0,1,,,